date,entity,year,month,week,period,value
3/22/2020,CESAR,2020,3,13,4,0
3/29/2020,CESAR,2020,3,14,4,0
4/5/2020,CESAR,2020,4,15,4,0
4/12/2020,CESAR,2020,4,16,4,0
1/1/2017,CHOCO,2017,1,1,1,0
1/8/2017,CHOCO,2017,1,2,1,1
1/15/2017,CHOCO,2017,1,3,1,0
1/22/2017,CHOCO,2017,1,4,1,0
1/29/2017,CHOCO,2017,1,5,2,0
2/5/2017,CHOCO,2017,2,6,2,0
2/12/2017,CHOCO,2017,2,7,2,0
2/19/2017,CHOCO,2017,2,8,2,0
2/26/2017,CHOCO,2017,2,9,3,0
3/5/2017,CHOCO,2017,3,10,3,0
3/12/2017,CHOCO,2017,3,11,3,1
3/19/2017,CHOCO,2017,3,12,3,1
3/26/2017,CHOCO,2017,3,13,4,0
4/2/2017,CHOCO,2017,4,14,4,0
4/9/2017,CHOCO,2017,4,15,4,1
4/16/2017,CHOCO,2017,4,16,4,1
4/23/2017,CHOCO,2017,4,17,5,0
4/30/2017,CHOCO,2017,4,18,5,0
5/7/2017,CHOCO,2017,5,19,5,0
5/14/2017,CHOCO,2017,5,20,5,1
5/21/2017,CHOCO,2017,5,21,6,0
5/28/2017,CHOCO,2017,5,22,6,0
6/4/2017,CHOCO,2017,6,23,6,0
6/11/2017,CHOCO,2017,6,24,6,0
6/18/2017,CHOCO,2017,6,25,7,0
6/25/2017,CHOCO,2017,6,26,7,0
7/2/2017,CHOCO,2017,7,27,7,0
7/9/2017,CHOCO,2017,7,28,7,0
7/16/2017,CHOCO,2017,7,29,8,0
7/23/2017,CHOCO,2017,7,30,8,0
7/30/2017,CHOCO,2017,7,31,8,0
8/6/2017,CHOCO,2017,8,32,8,1
8/13/2017,CHOCO,2017,8,33,9,1
8/20/2017,CHOCO,2017,8,34,9,1
8/27/2017,CHOCO,2017,8,35,9,0
9/3/2017,CHOCO,2017,9,36,9,0
9/10/2017,CHOCO,2017,9,37,10,0
9/17/2017,CHOCO,2017,9,38,10,0
9/24/2017,CHOCO,2017,9,39,10,1
10/1/2017,CHOCO,2017,10,40,10,0
10/8/2017,CHOCO,2017,10,41,11,0
10/15/2017,CHOCO,2017,10,42,11,0
10/22/2017,CHOCO,2017,10,43,11,0
10/29/2017,CHOCO,2017,10,44,11,0
11/5/2017,CHOCO,2017,11,45,12,0
11/12/2017,CHOCO,2017,11,46,12,0
11/19/2017,CHOCO,2017,11,47,12,1
11/26/2017,CHOCO,2017,11,48,12,0
12/3/2017,CHOCO,2017,12,49,13,0
12/10/2017,CHOCO,2017,12,50,13,0
12/17/2017,CHOCO,2017,12,51,13,0
12/24/2017,CHOCO,2017,12,52,13,0
12/31/2017,CHOCO,2018,12,1,1,0
1/7/2018,CHOCO,2018,1,2,1,0
1/14/2018,CHOCO,2018,1,3,1,0
1/21/2018,CHOCO,2018,1,4,1,1
1/28/2018,CHOCO,2018,1,5,2,0
2/4/2018,CHOCO,2018,2,6,2,2
2/11/2018,CHOCO,2018,2,7,2,1
2/18/2018,CHOCO,2018,2,8,2,0
2/25/2018,CHOCO,2018,2,9,3,0
3/4/2018,CHOCO,2018,3,10,3,0
3/11/2018,CHOCO,2018,3,11,3,0
3/18/2018,CHOCO,2018,3,12,3,0
3/25/2018,CHOCO,2018,3,13,4,0
4/1/2018,CHOCO,2018,4,14,4,0
4/8/2018,CHOCO,2018,4,15,4,0
4/15/2018,CHOCO,2018,4,16,4,0
4/22/2018,CHOCO,2018,4,17,5,0
4/29/2018,CHOCO,2018,4,18,5,0
5/6/2018,CHOCO,2018,5,19,5,0
5/13/2018,CHOCO,2018,5,20,5,0
5/20/2018,CHOCO,2018,5,21,6,0
5/27/2018,CHOCO,2018,5,22,6,0
6/3/2018,CHOCO,2018,6,23,6,0
6/10/2018,CHOCO,2018,6,24,6,0
6/17/2018,CHOCO,2018,6,25,7,0
6/24/2018,CHOCO,2018,6,26,7,0
7/1/2018,CHOCO,2018,7,27,7,0
7/8/2018,CHOCO,2018,7,28,7,0
7/15/2018,CHOCO,2018,7,29,8,0
7/22/2018,CHOCO,2018,7,30,8,0
7/29/2018,CHOCO,2018,7,31,8,0
8/5/2018,CHOCO,2018,8,32,8,0
8/12/2018,CHOCO,2018,8,33,9,1
8/19/2018,CHOCO,2018,8,34,9,0
8/26/2018,CHOCO,2018,8,35,9,0
9/2/2018,CHOCO,2018,9,36,9,0
9/9/2018,CHOCO,2018,9,37,10,0
9/16/2018,CHOCO,2018,9,38,10,2
9/23/2018,CHOCO,2018,9,39,10,0
9/30/2018,CHOCO,2018,9,40,10,0
10/7/2018,CHOCO,2018,10,41,11,0
10/14/2018,CHOCO,2018,10,42,11,0
10/21/2018,CHOCO,2018,10,43,11,0
10/28/2018,CHOCO,2018,10,44,11,0
11/4/2018,CHOCO,2018,11,45,12,0
11/11/2018,CHOCO,2018,11,46,12,1
11/18/2018,CHOCO,2018,11,47,12,0
11/25/2018,CHOCO,2018,11,48,12,1
12/2/2018,CHOCO,2018,12,49,13,0
12/9/2018,CHOCO,2018,12,50,13,1
12/16/2018,CHOCO,2018,12,51,13,0
12/23/2018,CHOCO,2018,12,52,13,0
12/30/2018,CHOCO,2019,12,1,1,0
1/6/2019,CHOCO,2019,1,2,1,0
1/13/2019,CHOCO,2019,1,3,1,0
1/20/2019,CHOCO,2019,1,4,1,1
1/27/2019,CHOCO,2019,1,5,2,1
2/3/2019,CHOCO,2019,2,6,2,0
2/10/2019,CHOCO,2019,2,7,2,0
2/17/2019,CHOCO,2019,2,8,2,0
2/24/2019,CHOCO,2019,2,9,3,0
3/3/2019,CHOCO,2019,3,10,3,0
3/10/2019,CHOCO,2019,3,11,3,0
3/17/2019,CHOCO,2019,3,12,3,0
3/24/2019,CHOCO,2019,3,13,4,0
3/31/2019,CHOCO,2019,3,14,4,0
4/7/2019,CHOCO,2019,4,15,4,1
4/14/2019,CHOCO,2019,4,16,4,0
4/21/2019,CHOCO,2019,4,17,5,0
4/28/2019,CHOCO,2019,4,18,5,0
5/5/2019,CHOCO,2019,5,19,5,0
5/12/2019,CHOCO,2019,5,20,5,0
5/19/2019,CHOCO,2019,5,21,6,0
5/26/2019,CHOCO,2019,5,22,6,1
6/2/2019,CHOCO,2019,6,23,6,0
6/9/2019,CHOCO,2019,6,24,6,0
6/16/2019,CHOCO,2019,6,25,7,0
6/23/2019,CHOCO,2019,6,26,7,0
6/30/2019,CHOCO,2019,6,27,7,0
7/7/2019,CHOCO,2019,7,28,7,0
7/14/2019,CHOCO,2019,7,29,8,0
7/21/2019,CHOCO,2019,7,30,8,0
7/28/2019,CHOCO,2019,7,31,8,0
8/4/2019,CHOCO,2019,8,32,8,0
8/11/2019,CHOCO,2019,8,33,9,0
8/18/2019,CHOCO,2019,8,34,9,0
8/25/2019,CHOCO,2019,8,35,9,0
9/1/2019,CHOCO,2019,9,36,9,0
9/8/2019,CHOCO,2019,9,37,10,0
9/15/2019,CHOCO,2019,9,38,10,0
9/22/2019,CHOCO,2019,9,39,10,0
9/29/2019,CHOCO,2019,9,40,10,0
10/6/2019,CHOCO,2019,10,41,11,0
10/13/2019,CHOCO,2019,10,42,11,0
10/20/2019,CHOCO,2019,10,43,11,0
10/27/2019,CHOCO,2019,10,44,11,0
11/3/2019,CHOCO,2019,11,45,12,0
11/10/2019,CHOCO,2019,11,46,12,0
11/17/2019,CHOCO,2019,11,47,12,0
11/24/2019,CHOCO,2019,11,48,12,0
12/1/2019,CHOCO,2019,12,49,13,2
12/8/2019,CHOCO,2019,12,50,13,0
12/15/2019,CHOCO,2019,12,51,13,0
12/22/2019,CHOCO,2019,12,52,13,0
12/29/2019,CHOCO,2020,12,1,1,0
1/5/2020,CHOCO,2020,1,2,1,0
1/12/2020,CHOCO,2020,1,3,1,0
1/19/2020,CHOCO,2020,1,4,1,0
1/26/2020,CHOCO,2020,1,5,2,1
2/2/2020,CHOCO,2020,2,6,2,0
2/9/2020,CHOCO,2020,2,7,2,0
2/16/2020,CHOCO,2020,2,8,2,0
2/23/2020,CHOCO,2020,2,9,3,1
3/1/2020,CHOCO,2020,3,10,3,0
3/8/2020,CHOCO,2020,3,11,3,0
3/15/2020,CHOCO,2020,3,12,3,0
3/22/2020,CHOCO,2020,3,13,4,0
3/29/2020,CHOCO,2020,3,14,4,0
4/5/2020,CHOCO,2020,4,15,4,0
4/12/2020,CHOCO,2020,4,16,4,0
1/1/2017,CORDOBA,2017,1,1,1,1
1/8/2017,CORDOBA,2017,1,2,1,0
1/15/2017,CORDOBA,2017,1,3,1,0
1/22/2017,CORDOBA,2017,1,4,1,0
1/29/2017,CORDOBA,2017,1,5,2,1
2/5/2017,CORDOBA,2017,2,6,2,0
2/12/2017,CORDOBA,2017,2,7,2,0
2/19/2017,CORDOBA,2017,2,8,2,1
2/26/2017,CORDOBA,2017,2,9,3,1
3/5/2017,CORDOBA,2017,3,10,3,0
3/12/2017,CORDOBA,2017,3,11,3,0
3/19/2017,CORDOBA,2017,3,12,3,1
3/26/2017,CORDOBA,2017,3,13,4,0
4/2/2017,CORDOBA,2017,4,14,4,0
4/9/2017,CORDOBA,2017,4,15,4,2
4/16/2017,CORDOBA,2017,4,16,4,0
4/23/2017,CORDOBA,2017,4,17,5,0
4/30/2017,CORDOBA,2017,4,18,5,1
5/7/2017,CORDOBA,2017,5,19,5,0
5/14/2017,CORDOBA,2017,5,20,5,1
5/21/2017,CORDOBA,2017,5,21,6,0
5/28/2017,CORDOBA,2017,5,22,6,1
6/4/2017,CORDOBA,2017,6,23,6,0
6/11/2017,CORDOBA,2017,6,24,6,2
6/18/2017,CORDOBA,2017,6,25,7,0
6/25/2017,CORDOBA,2017,6,26,7,0
7/2/2017,CORDOBA,2017,7,27,7,1
7/9/2017,CORDOBA,2017,7,28,7,2
7/16/2017,CORDOBA,2017,7,29,8,0
7/23/2017,CORDOBA,2017,7,30,8,0
7/30/2017,CORDOBA,2017,7,31,8,1
8/6/2017,CORDOBA,2017,8,32,8,0
8/13/2017,CORDOBA,2017,8,33,9,0
8/20/2017,CORDOBA,2017,8,34,9,1
8/27/2017,CORDOBA,2017,8,35,9,2
9/3/2017,CORDOBA,2017,9,36,9,1
9/10/2017,CORDOBA,2017,9,37,10,1
9/17/2017,CORDOBA,2017,9,38,10,0
9/24/2017,CORDOBA,2017,9,39,10,1
10/1/2017,CORDOBA,2017,10,40,10,1
10/8/2017,CORDOBA,2017,10,41,11,1
10/15/2017,CORDOBA,2017,10,42,11,0
10/22/2017,CORDOBA,2017,10,43,11,1
10/29/2017,CORDOBA,2017,10,44,11,2
11/5/2017,CORDOBA,2017,11,45,12,0
11/12/2017,CORDOBA,2017,11,46,12,1
11/19/2017,CORDOBA,2017,11,47,12,0
11/26/2017,CORDOBA,2017,11,48,12,0
12/3/2017,CORDOBA,2017,12,49,13,1
12/10/2017,CORDOBA,2017,12,50,13,0
12/17/2017,CORDOBA,2017,12,51,13,1
12/24/2017,CORDOBA,2017,12,52,13,1
12/31/2017,CORDOBA,2018,12,1,1,0
1/7/2018,CORDOBA,2018,1,2,1,0
1/14/2018,CORDOBA,2018,1,3,1,1
1/21/2018,CORDOBA,2018,1,4,1,1
1/28/2018,CORDOBA,2018,1,5,2,0
2/4/2018,CORDOBA,2018,2,6,2,1
2/11/2018,CORDOBA,2018,2,7,2,0
2/18/2018,CORDOBA,2018,2,8,2,2
2/25/2018,CORDOBA,2018,2,9,3,0
3/4/2018,CORDOBA,2018,3,10,3,3
3/11/2018,CORDOBA,2018,3,11,3,3
3/18/2018,CORDOBA,2018,3,12,3,3
3/25/2018,CORDOBA,2018,3,13,4,5
4/1/2018,CORDOBA,2018,4,14,4,2
4/8/2018,CORDOBA,2018,4,15,4,2
4/15/2018,CORDOBA,2018,4,16,4,1
4/22/2018,CORDOBA,2018,4,17,5,2
4/29/2018,CORDOBA,2018,4,18,5,1
5/6/2018,CORDOBA,2018,5,19,5,1
5/13/2018,CORDOBA,2018,5,20,5,2
5/20/2018,CORDOBA,2018,5,21,6,2
5/27/2018,CORDOBA,2018,5,22,6,0
6/3/2018,CORDOBA,2018,6,23,6,2
6/10/2018,CORDOBA,2018,6,24,6,0
6/17/2018,CORDOBA,2018,6,25,7,2
6/24/2018,CORDOBA,2018,6,26,7,2
7/1/2018,CORDOBA,2018,7,27,7,0
7/8/2018,CORDOBA,2018,7,28,7,0
7/15/2018,CORDOBA,2018,7,29,8,2
7/22/2018,CORDOBA,2018,7,30,8,1
7/29/2018,CORDOBA,2018,7,31,8,0
8/5/2018,CORDOBA,2018,8,32,8,0
8/12/2018,CORDOBA,2018,8,33,9,0
8/19/2018,CORDOBA,2018,8,34,9,0
8/26/2018,CORDOBA,2018,8,35,9,2
9/2/2018,CORDOBA,2018,9,36,9,1
9/9/2018,CORDOBA,2018,9,37,10,2
9/16/2018,CORDOBA,2018,9,38,10,0
9/23/2018,CORDOBA,2018,9,39,10,1
9/30/2018,CORDOBA,2018,9,40,10,1
10/7/2018,CORDOBA,2018,10,41,11,1
10/14/2018,CORDOBA,2018,10,42,11,3
10/21/2018,CORDOBA,2018,10,43,11,2
10/28/2018,CORDOBA,2018,10,44,11,2
11/4/2018,CORDOBA,2018,11,45,12,1
11/11/2018,CORDOBA,2018,11,46,12,1
11/18/2018,CORDOBA,2018,11,47,12,0
11/25/2018,CORDOBA,2018,11,48,12,1
12/2/2018,CORDOBA,2018,12,49,13,0
12/9/2018,CORDOBA,2018,12,50,13,1
12/16/2018,CORDOBA,2018,12,51,13,1
12/23/2018,CORDOBA,2018,12,52,13,1
12/30/2018,CORDOBA,2019,12,1,1,2
1/6/2019,CORDOBA,2019,1,2,1,1
1/13/2019,CORDOBA,2019,1,3,1,1
1/20/2019,CORDOBA,2019,1,4,1,2
1/27/2019,CORDOBA,2019,1,5,2,1
2/3/2019,CORDOBA,2019,2,6,2,1
2/10/2019,CORDOBA,2019,2,7,2,2
2/17/2019,CORDOBA,2019,2,8,2,1
2/24/2019,CORDOBA,2019,2,9,3,1
3/3/2019,CORDOBA,2019,3,10,3,0
3/10/2019,CORDOBA,2019,3,11,3,1
3/17/2019,CORDOBA,2019,3,12,3,2
3/24/2019,CORDOBA,2019,3,13,4,1
3/31/2019,CORDOBA,2019,3,14,4,1
4/7/2019,CORDOBA,2019,4,15,4,2
4/14/2019,CORDOBA,2019,4,16,4,2
4/21/2019,CORDOBA,2019,4,17,5,3
4/28/2019,CORDOBA,2019,4,18,5,1
5/5/2019,CORDOBA,2019,5,19,5,0
5/12/2019,CORDOBA,2019,5,20,5,2
5/19/2019,CORDOBA,2019,5,21,6,3
5/26/2019,CORDOBA,2019,5,22,6,0
6/2/2019,CORDOBA,2019,6,23,6,3
6/9/2019,CORDOBA,2019,6,24,6,0
6/16/2019,CORDOBA,2019,6,25,7,3
6/23/2019,CORDOBA,2019,6,26,7,1
6/30/2019,CORDOBA,2019,6,27,7,0
7/7/2019,CORDOBA,2019,7,28,7,0
7/14/2019,CORDOBA,2019,7,29,8,2
7/21/2019,CORDOBA,2019,7,30,8,2
7/28/2019,CORDOBA,2019,7,31,8,0
8/4/2019,CORDOBA,2019,8,32,8,1
8/11/2019,CORDOBA,2019,8,33,9,0
8/18/2019,CORDOBA,2019,8,34,9,0
8/25/2019,CORDOBA,2019,8,35,9,2
9/1/2019,CORDOBA,2019,9,36,9,1
9/8/2019,CORDOBA,2019,9,37,10,1
9/15/2019,CORDOBA,2019,9,38,10,0
9/22/2019,CORDOBA,2019,9,39,10,0
9/29/2019,CORDOBA,2019,9,40,10,0
10/6/2019,CORDOBA,2019,10,41,11,2
10/13/2019,CORDOBA,2019,10,42,11,1
10/20/2019,CORDOBA,2019,10,43,11,0
10/27/2019,CORDOBA,2019,10,44,11,1
11/3/2019,CORDOBA,2019,11,45,12,0
11/10/2019,CORDOBA,2019,11,46,12,0
11/17/2019,CORDOBA,2019,11,47,12,0
11/24/2019,CORDOBA,2019,11,48,12,2
12/1/2019,CORDOBA,2019,12,49,13,1
12/8/2019,CORDOBA,2019,12,50,13,1
12/15/2019,CORDOBA,2019,12,51,13,1
12/22/2019,CORDOBA,2019,12,52,13,1
12/29/2019,CORDOBA,2020,12,1,1,1
1/5/2020,CORDOBA,2020,1,2,1,0
1/12/2020,CORDOBA,2020,1,3,1,2
1/19/2020,CORDOBA,2020,1,4,1,0
1/26/2020,CORDOBA,2020,1,5,2,0
2/2/2020,CORDOBA,2020,2,6,2,0
2/9/2020,CORDOBA,2020,2,7,2,0
2/16/2020,CORDOBA,2020,2,8,2,0
2/23/2020,CORDOBA,2020,2,9,3,0
3/1/2020,CORDOBA,2020,3,10,3,0
3/8/2020,CORDOBA,2020,3,11,3,0
3/15/2020,CORDOBA,2020,3,12,3,0
3/22/2020,CORDOBA,2020,3,13,4,0
3/29/2020,CORDOBA,2020,3,14,4,0
4/5/2020,CORDOBA,2020,4,15,4,0
4/12/2020,CORDOBA,2020,4,16,4,0
1/1/2017,CUNDINAMARCA,2017,1,1,1,5
1/8/2017,CUNDINAMARCA,2017,1,2,1,2
1/15/2017,CUNDINAMARCA,2017,1,3,1,4
1/22/2017,CUNDINAMARCA,2017,1,4,1,0
1/29/2017,CUNDINAMARCA,2017,1,5,2,7
2/5/2017,CUNDINAMARCA,2017,2,6,2,3
2/12/2017,CUNDINAMARCA,2017,2,7,2,1
2/19/2017,CUNDINAMARCA,2017,2,8,2,5
2/26/2017,CUNDINAMARCA,2017,2,9,3,3
3/5/2017,CUNDINAMARCA,2017,3,10,3,1
3/12/2017,CUNDINAMARCA,2017,3,11,3,3
3/19/2017,CUNDINAMARCA,2017,3,12,3,1
3/26/2017,CUNDINAMARCA,2017,3,13,4,2
4/2/2017,CUNDINAMARCA,2017,4,14,4,3
4/9/2017,CUNDINAMARCA,2017,4,15,4,0
4/16/2017,CUNDINAMARCA,2017,4,16,4,1
4/23/2017,CUNDINAMARCA,2017,4,17,5,2
4/30/2017,CUNDINAMARCA,2017,4,18,5,1
5/7/2017,CUNDINAMARCA,2017,5,19,5,0
5/14/2017,CUNDINAMARCA,2017,5,20,5,2
5/21/2017,CUNDINAMARCA,2017,5,21,6,3
5/28/2017,CUNDINAMARCA,2017,5,22,6,1
6/4/2017,CUNDINAMARCA,2017,6,23,6,0
6/11/2017,CUNDINAMARCA,2017,6,24,6,2
6/18/2017,CUNDINAMARCA,2017,6,25,7,1
6/25/2017,CUNDINAMARCA,2017,6,26,7,4
7/2/2017,CUNDINAMARCA,2017,7,27,7,3
7/9/2017,CUNDINAMARCA,2017,7,28,7,1
7/16/2017,CUNDINAMARCA,2017,7,29,8,2
7/23/2017,CUNDINAMARCA,2017,7,30,8,1
7/30/2017,CUNDINAMARCA,2017,7,31,8,2
8/6/2017,CUNDINAMARCA,2017,8,32,8,0
8/13/2017,CUNDINAMARCA,2017,8,33,9,3
8/20/2017,CUNDINAMARCA,2017,8,34,9,2
8/27/2017,CUNDINAMARCA,2017,8,35,9,2
9/3/2017,CUNDINAMARCA,2017,9,36,9,0
9/10/2017,CUNDINAMARCA,2017,9,37,10,1
9/17/2017,CUNDINAMARCA,2017,9,38,10,2
9/24/2017,CUNDINAMARCA,2017,9,39,10,5
10/1/2017,CUNDINAMARCA,2017,10,40,10,0
10/8/2017,CUNDINAMARCA,2017,10,41,11,1
10/15/2017,CUNDINAMARCA,2017,10,42,11,4
10/22/2017,CUNDINAMARCA,2017,10,43,11,5
10/29/2017,CUNDINAMARCA,2017,10,44,11,2
11/5/2017,CUNDINAMARCA,2017,11,45,12,4
11/12/2017,CUNDINAMARCA,2017,11,46,12,3
11/19/2017,CUNDINAMARCA,2017,11,47,12,5
11/26/2017,CUNDINAMARCA,2017,11,48,12,2
12/3/2017,CUNDINAMARCA,2017,12,49,13,3
12/10/2017,CUNDINAMARCA,2017,12,50,13,0
12/17/2017,CUNDINAMARCA,2017,12,51,13,1
12/24/2017,CUNDINAMARCA,2017,12,52,13,1
12/31/2017,CUNDINAMARCA,2018,12,1,1,7
1/7/2018,CUNDINAMARCA,2018,1,2,1,3
1/14/2018,CUNDINAMARCA,2018,1,3,1,2
1/21/2018,CUNDINAMARCA,2018,1,4,1,4
1/28/2018,CUNDINAMARCA,2018,1,5,2,4
2/4/2018,CUNDINAMARCA,2018,2,6,2,2
2/11/2018,CUNDINAMARCA,2018,2,7,2,3
2/18/2018,CUNDINAMARCA,2018,2,8,2,3
2/25/2018,CUNDINAMARCA,2018,2,9,3,6
3/4/2018,CUNDINAMARCA,2018,3,10,3,3
3/11/2018,CUNDINAMARCA,2018,3,11,3,3
3/18/2018,CUNDINAMARCA,2018,3,12,3,3
3/25/2018,CUNDINAMARCA,2018,3,13,4,2
4/1/2018,CUNDINAMARCA,2018,4,14,4,0
4/8/2018,CUNDINAMARCA,2018,4,15,4,4
4/15/2018,CUNDINAMARCA,2018,4,16,4,4
4/22/2018,CUNDINAMARCA,2018,4,17,5,8
4/29/2018,CUNDINAMARCA,2018,4,18,5,3
5/6/2018,CUNDINAMARCA,2018,5,19,5,3
5/13/2018,CUNDINAMARCA,2018,5,20,5,2
5/20/2018,CUNDINAMARCA,2018,5,21,6,6
5/27/2018,CUNDINAMARCA,2018,5,22,6,5
6/3/2018,CUNDINAMARCA,2018,6,23,6,3
6/10/2018,CUNDINAMARCA,2018,6,24,6,1
6/17/2018,CUNDINAMARCA,2018,6,25,7,0
6/24/2018,CUNDINAMARCA,2018,6,26,7,1
7/1/2018,CUNDINAMARCA,2018,7,27,7,2
7/8/2018,CUNDINAMARCA,2018,7,28,7,2
7/15/2018,CUNDINAMARCA,2018,7,29,8,0
7/22/2018,CUNDINAMARCA,2018,7,30,8,3
7/29/2018,CUNDINAMARCA,2018,7,31,8,2
8/5/2018,CUNDINAMARCA,2018,8,32,8,1
8/12/2018,CUNDINAMARCA,2018,8,33,9,2
8/19/2018,CUNDINAMARCA,2018,8,34,9,2
8/26/2018,CUNDINAMARCA,2018,8,35,9,2
9/2/2018,CUNDINAMARCA,2018,9,36,9,2
9/9/2018,CUNDINAMARCA,2018,9,37,10,2
9/16/2018,CUNDINAMARCA,2018,9,38,10,5
9/23/2018,CUNDINAMARCA,2018,9,39,10,1
9/30/2018,CUNDINAMARCA,2018,9,40,10,3
10/7/2018,CUNDINAMARCA,2018,10,41,11,0
10/14/2018,CUNDINAMARCA,2018,10,42,11,2
10/21/2018,CUNDINAMARCA,2018,10,43,11,1
10/28/2018,CUNDINAMARCA,2018,10,44,11,3
11/4/2018,CUNDINAMARCA,2018,11,45,12,2
11/11/2018,CUNDINAMARCA,2018,11,46,12,0
11/18/2018,CUNDINAMARCA,2018,11,47,12,1
11/25/2018,CUNDINAMARCA,2018,11,48,12,5
12/2/2018,CUNDINAMARCA,2018,12,49,13,3
12/9/2018,CUNDINAMARCA,2018,12,50,13,4
12/16/2018,CUNDINAMARCA,2018,12,51,13,4
12/23/2018,CUNDINAMARCA,2018,12,52,13,1
12/30/2018,CUNDINAMARCA,2019,12,1,1,4
1/6/2019,CUNDINAMARCA,2019,1,2,1,1
1/13/2019,CUNDINAMARCA,2019,1,3,1,3
1/20/2019,CUNDINAMARCA,2019,1,4,1,4
1/27/2019,CUNDINAMARCA,2019,1,5,2,2
2/3/2019,CUNDINAMARCA,2019,2,6,2,5
2/10/2019,CUNDINAMARCA,2019,2,7,2,3
2/17/2019,CUNDINAMARCA,2019,2,8,2,4
2/24/2019,CUNDINAMARCA,2019,2,9,3,5
3/3/2019,CUNDINAMARCA,2019,3,10,3,1
3/10/2019,CUNDINAMARCA,2019,3,11,3,4
3/17/2019,CUNDINAMARCA,2019,3,12,3,4
3/24/2019,CUNDINAMARCA,2019,3,13,4,2
3/31/2019,CUNDINAMARCA,2019,3,14,4,3
4/7/2019,CUNDINAMARCA,2019,4,15,4,3
4/14/2019,CUNDINAMARCA,2019,4,16,4,1
4/21/2019,CUNDINAMARCA,2019,4,17,5,1
4/28/2019,CUNDINAMARCA,2019,4,18,5,0
5/5/2019,CUNDINAMARCA,2019,5,19,5,2
5/12/2019,CUNDINAMARCA,2019,5,20,5,2
5/19/2019,CUNDINAMARCA,2019,5,21,6,4
5/26/2019,CUNDINAMARCA,2019,5,22,6,5
6/2/2019,CUNDINAMARCA,2019,6,23,6,5
6/9/2019,CUNDINAMARCA,2019,6,24,6,2
6/16/2019,CUNDINAMARCA,2019,6,25,7,5
6/23/2019,CUNDINAMARCA,2019,6,26,7,4
6/30/2019,CUNDINAMARCA,2019,6,27,7,1
7/7/2019,CUNDINAMARCA,2019,7,28,7,2
7/14/2019,CUNDINAMARCA,2019,7,29,8,0
7/21/2019,CUNDINAMARCA,2019,7,30,8,1
7/28/2019,CUNDINAMARCA,2019,7,31,8,1
8/4/2019,CUNDINAMARCA,2019,8,32,8,1
8/11/2019,CUNDINAMARCA,2019,8,33,9,4
8/18/2019,CUNDINAMARCA,2019,8,34,9,2
8/25/2019,CUNDINAMARCA,2019,8,35,9,2
9/1/2019,CUNDINAMARCA,2019,9,36,9,2
9/8/2019,CUNDINAMARCA,2019,9,37,10,1
9/15/2019,CUNDINAMARCA,2019,9,38,10,1
9/22/2019,CUNDINAMARCA,2019,9,39,10,3
9/29/2019,CUNDINAMARCA,2019,9,40,10,2
10/6/2019,CUNDINAMARCA,2019,10,41,11,4
10/13/2019,CUNDINAMARCA,2019,10,42,11,6
10/20/2019,CUNDINAMARCA,2019,10,43,11,0
10/27/2019,CUNDINAMARCA,2019,10,44,11,3
11/3/2019,CUNDINAMARCA,2019,11,45,12,7
11/10/2019,CUNDINAMARCA,2019,11,46,12,1
11/17/2019,CUNDINAMARCA,2019,11,47,12,2
11/24/2019,CUNDINAMARCA,2019,11,48,12,0
12/1/2019,CUNDINAMARCA,2019,12,49,13,4
12/8/2019,CUNDINAMARCA,2019,12,50,13,2
12/15/2019,CUNDINAMARCA,2019,12,51,13,0
12/22/2019,CUNDINAMARCA,2019,12,52,13,3
12/29/2019,CUNDINAMARCA,2020,12,1,1,1
1/5/2020,CUNDINAMARCA,2020,1,2,1,4
1/12/2020,CUNDINAMARCA,2020,1,3,1,2
1/19/2020,CUNDINAMARCA,2020,1,4,1,0
1/26/2020,CUNDINAMARCA,2020,1,5,2,2
2/2/2020,CUNDINAMARCA,2020,2,6,2,1
2/9/2020,CUNDINAMARCA,2020,2,7,2,0
2/16/2020,CUNDINAMARCA,2020,2,8,2,2
2/23/2020,CUNDINAMARCA,2020,2,9,3,1
3/1/2020,CUNDINAMARCA,2020,3,10,3,0
3/8/2020,CUNDINAMARCA,2020,3,11,3,0
3/15/2020,CUNDINAMARCA,2020,3,12,3,0
3/22/2020,CUNDINAMARCA,2020,3,13,4,0
3/29/2020,CUNDINAMARCA,2020,3,14,4,0
4/5/2020,CUNDINAMARCA,2020,4,15,4,0
4/12/2020,CUNDINAMARCA,2020,4,16,4,0
1/1/2017,GUAINIA,2017,1,1,1,0
1/8/2017,GUAINIA,2017,1,2,1,0
1/15/2017,GUAINIA,2017,1,3,1,0
1/22/2017,GUAINIA,2017,1,4,1,0
1/29/2017,GUAINIA,2017,1,5,2,0
2/5/2017,GUAINIA,2017,2,6,2,0
2/12/2017,GUAINIA,2017,2,7,2,0
2/19/2017,GUAINIA,2017,2,8,2,0
2/26/2017,GUAINIA,2017,2,9,3,0
3/5/2017,GUAINIA,2017,3,10,3,0
3/12/2017,GUAINIA,2017,3,11,3,0
3/19/2017,GUAINIA,2017,3,12,3,0
3/26/2017,GUAINIA,2017,3,13,4,0
4/2/2017,GUAINIA,2017,4,14,4,0
4/9/2017,GUAINIA,2017,4,15,4,0
4/16/2017,GUAINIA,2017,4,16,4,0
4/23/2017,GUAINIA,2017,4,17,5,0
4/30/2017,GUAINIA,2017,4,18,5,0
5/7/2017,GUAINIA,2017,5,19,5,0
